name,category,weight,quartile
Robert De Niro,nconst,67,Q4
Bruce Willis,nconst,60,Q4
Samuel L. Jackson,nconst,59,Q4
Nicolas Cage,nconst,50,Q4
Dennis Quaid,nconst,44,Q4
Morgan Freeman,nconst,43,Q4
Mark Wahlberg,nconst,41,Q4
Johnny Depp,nconst,39,Q4
Willem Dafoe,nconst,38,Q4
Anthony Hopkins,nconst,38,Q4
Michael Caine,nconst,38,Q4
Clint Eastwood,nconst,38,Q4
Sylvester Stallone,nconst,37,Q4
Keanu Reeves,nconst,37,Q4
Gene Hackman,nconst,37,Q4
Matt Damon,nconst,37,Q4
Liam Neeson,nconst,37,Q4
John Cusack,nconst,36,Q4
Tom Cruise,nconst,36,Q4
Denzel Washington,nconst,36,Q4
Woody Harrelson,nconst,36,Q4
Ben Kingsley,nconst,35,Q4
Ewan McGregor,nconst,34,Q4
John Travolta,nconst,34,Q4
Kevin Costner,nconst,34,Q4
Al Pacino,nconst,34,Q4
Gary Oldman,nconst,33,Q4
Mel Gibson,nconst,33,Q4
Akshay Kumar,nconst,33,Q4
Robert Downey Jr.,nconst,33,Q4
Harrison Ford,nconst,33,Q4
Jeff Bridges,nconst,33,Q4
Jason Statham,nconst,33,Q4
Ryan Reynolds,nconst,33,Q4
Colin Farrell,nconst,32,Q4
Tom Hanks,nconst,32,Q4
Ben Affleck,nconst,32,Q4
Brad Pitt,nconst,32,Q4
Kurt Russell,nconst,31,Q4
Eddie Murphy,nconst,31,Q4
Christian Bale,nconst,31,Q4
Adam Sandler,nconst,31,Q4
Matthew McConaughey,nconst,30,Q4
Antonio Banderas,nconst,30,Q4
Robert Duvall,nconst,29,Q4
Christopher Walken,nconst,29,Q4
Sean Connery,nconst,29,Q4
Sean Penn,nconst,29,Q4
Robert Redford,nconst,29,Q4
Michael Douglas,nconst,29,Q4
Robin Williams,nconst,29,Q4
Dwayne Johnson,nconst,29,Q4
John Goodman,nconst,29,Q4
Kevin Spacey,nconst,28,Q4
Owen Wilson,nconst,28,Q4
Will Ferrell,nconst,28,Q4
Ethan Hawke,nconst,28,Q4
Will Smith,nconst,28,Q4
George Clooney,nconst,28,Q4
Russell Crowe,nconst,27,Q4
Vince Vaughn,nconst,27,Q4
Ed Harris,nconst,27,Q4
Jude Law,nconst,27,Q4
John Malkovich,nconst,27,Q4
Tim Robbins,nconst,27,Q4
Tommy Lee Jones,nconst,26,Q4
Alec Baldwin,nconst,26,Q4
Dustin Hoffman,nconst,26,Q4
Shah Rukh Khan,nconst,26,Q4
Jake Gyllenhaal,nconst,26,Q4
Richard Gere,nconst,26,Q4
Gerard Butler,nconst,26,Q4
Kevin Bacon,nconst,26,Q4
Donald Sutherland,nconst,25,Q4
Bill Murray,nconst,25,Q4
Ralph Fiennes,nconst,25,Q4
Jackie Chan,nconst,24,Q4
Billy Bob Thornton,nconst,24,Q4
Steve Martin,nconst,24,Q4
Pierce Brosnan,nconst,24,Q4
Jack Nicholson,nconst,24,Q4
Joaquin Phoenix,nconst,24,Q4
Greg Kinnear,nconst,24,Q4
John C. Reilly,nconst,23,Q4
Tom Wilkinson,nconst,23,Q4
Arnold Schwarzenegger,nconst,23,Q4
Ben Stiller,nconst,23,Q4
Val Kilmer,nconst,23,Q4
Jack Black,nconst,23,Q4
Leonardo DiCaprio,nconst,23,Q4
Mark Ruffalo,nconst,23,Q4
Jim Carrey,nconst,23,Q4
Danny DeVito,nconst,23,Q4
Forest Whitaker,nconst,23,Q4
Bradley Cooper,nconst,23,Q4
Colin Firth,nconst,22,Q3
Vin Diesel,nconst,22,Q3
Kevin Kline,nconst,22,Q3
Dan Aykroyd,nconst,22,Q3
Clive Owen,nconst,22,Q3
Steve Carell,nconst,22,Q3
Christopher Plummer,nconst,22,Q3
Guy Pearce,nconst,22,Q3
Edward Norton,nconst,22,Q3
John Wayne,nconst,22,Q3
Philip Seymour Hoffman,nconst,22,Q3
Hugh Jackman,nconst,21,Q3
Jesse Eisenberg,nconst,21,Q3
Paul Rudd,nconst,21,Q3
Ryan Gosling,nconst,21,Q3
Stanley Tucci,nconst,21,Q3
Max von Sydow,nconst,21,Q3
Steve Zahn,nconst,21,Q3
Vincent D'Onofrio,nconst,21,Q3
Nick Nolte,nconst,21,Q3
Michael Keaton,nconst,21,Q3
Josh Brolin,nconst,21,Q3
