id,primaryTitle,nconst
152248,The Shawshank Redemption,Tim Robbins
152249,The Shawshank Redemption,Morgan Freeman
152251,The Shawshank Redemption,William Sadler
312933,The Dark Knight,Christian Bale
312935,The Dark Knight,Aaron Eckhart
312936,The Dark Knight,Michael Caine
312934,The Dark Knight,Heath Ledger
381762,Inception,Ken Watanabe
381761,Inception,Elliot Page
381760,Inception,Joseph Gordon-Levitt
381759,Inception,Leonardo DiCaprio
173018,Fight Club,Edward Norton
173017,Fight Club,Brad Pitt
150571,Forrest Gump,Tom Hanks
150572,Forrest Gump,Gary Sinise
151919,Pulp Fiction,Bruce Willis
151917,Pulp Fiction,John Travolta
151918,Pulp Fiction,Samuel L. Jackson
170473,The Matrix,Hugo Weaving
170472,The Matrix,Laurence Fishburne
170471,The Matrix,Keanu Reeves
162830,The Lord of the Rings: The Fellowship of the Ring,Sean Bean
162829,The Lord of the Rings: The Fellowship of the Ring,Orlando Bloom
162828,The Lord of the Rings: The Fellowship of the Ring,Ian McKellen
162827,The Lord of the Rings: The Fellowship of the Ring,Elijah Wood
93518,The Godfather,Marlon Brando
93519,The Godfather,Al Pacino
93520,The Godfather,James Caan
188003,The Lord of the Rings: The Return of the King,Viggo Mortensen
188005,The Lord of the Rings: The Return of the King,Orlando Bloom
188004,The Lord of the Rings: The Return of the King,Ian McKellen
188002,The Lord of the Rings: The Return of the King,Elijah Wood
380071,The Dark Knight Rises,Christian Bale
380073,The Dark Knight Rises,Gary Oldman
380072,The Dark Knight Rises,Tom Hardy
188009,The Lord of the Rings: The Two Towers,Orlando Bloom
188008,The Lord of the Rings: The Two Towers,Viggo Mortensen
188006,The Lord of the Rings: The Two Towers,Elijah Wood
188007,The Lord of the Rings: The Two Towers,Ian McKellen
155566,Se7en,Morgan Freeman
155567,Se7en,Brad Pitt
155568,Se7en,Kevin Spacey
423552,Django Unchained,Christoph Waltz
423553,Django Unchained,Leonardo DiCaprio
423551,Django Unchained,Jamie Foxx
190842,Gladiator,Oliver Reed
190841,Gladiator,Joaquin Phoenix
190840,Gladiator,Russell Crowe
285273,Batman Begins,Christian Bale
285276,Batman Begins,Liam Neeson
285274,Batman Begins,Michael Caine
285275,Batman Begins,Ken Watanabe
327789,The Avengers,Robert Downey Jr.
327791,The Avengers,Jeremy Renner
327790,The Avengers,Chris Evans
162977,Saving Private Ryan,Tom Hanks
162978,Saving Private Ryan,Matt Damon
162979,Saving Private Ryan,Tom Sizemore
162980,Saving Private Ryan,Edward Burns
334919,The Wolf of Wall Street,Leonardo DiCaprio
334920,The Wolf of Wall Street,Jonah Hill
334921,The Wolf of Wall Street,Matthew McConaughey
105902,Star Wars,Alec Guinness
105901,Star Wars,Harrison Ford
105900,Star Wars,Mark Hamill
148667,Schindler's List,Liam Neeson
148668,Schindler's List,Ralph Fiennes
148669,Schindler's List,Ben Kingsley
316765,The Prestige,Hugh Jackman
316764,The Prestige,Christian Bale
316766,The Prestige,Michael Caine
296510,The Departed,Mark Wahlberg
296509,The Departed,Jack Nicholson
296507,The Departed,Leonardo DiCaprio
296508,The Departed,Matt Damon
162748,The Green Mile,Tom Hanks
162750,The Green Mile,David Morse
162749,The Green Mile,Michael Clarke Duncan
353818,Shutter Island,Mark Ruffalo
353819,Shutter Island,Ben Kingsley
353817,Shutter Island,Leonardo DiCaprio
111457,Star Wars: Episode V - The Empire Strikes Back,Mark Hamill
111458,Star Wars: Episode V - The Empire Strikes Back,Harrison Ford
98250,The Godfather: Part II,Robert Duvall
98249,The Godfather: Part II,Robert De Niro
98248,The Godfather: Part II,Al Pacino
213519,Memento,Guy Pearce
213520,Memento,Joe Pantoliano
553786,Joker,Joaquin Phoenix
553787,Joker,Robert De Niro
122725,Back to the Future,Michael J. Fox
122727,Back to the Future,Crispin Glover
122726,Back to the Future,Christopher Lloyd
431755,Guardians of the Galaxy,Bradley Cooper
431754,Guardians of the Galaxy,Vin Diesel
431753,Guardians of the Galaxy,Chris Pratt
189173,American Beauty,Kevin Spacey
189174,American Beauty,Wes Bentley
162260,Titanic,Leonardo DiCaprio
162261,Titanic,Billy Zane
151315,Leon: The Professional,Danny Aiello
151314,Leon: The Professional,Gary Oldman
151313,Leon: The Professional,Jean Reno
138093,Goodfellas,Robert De Niro
138095,Goodfellas,Joe Pesci
138094,Goodfellas,Ray Liotta
304388,V for Vendetta,Hugo Weaving
304390,V for Vendetta,Stephen Rea
162578,American History X,Edward Norton
162579,American History X,Edward Furlong
240908,Kill Bill: Vol. 1,Michael Madsen
240907,Kill Bill: Vol. 1,David Carradine
267790,Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp
267791,Pirates of the Caribbean: The Curse of the Black Pearl,Geoffrey Rush
267792,Pirates of the Caribbean: The Curse of the Black Pearl,Orlando Bloom
142672,Terminator 2: Judgment Day,Edward Furlong
142671,Terminator 2: Judgment Day,Arnold Schwarzenegger
