name,category,weight,quartile
The Shawshank Redemption,primaryTitle,2566477,Q4
The Dark Knight,primaryTitle,2530053,Q4
Inception,primaryTitle,2252479,Q4
Fight Club,primaryTitle,2019408,Q4
Forrest Gump,primaryTitle,1979560,Q4
Pulp Fiction,primaryTitle,1970268,Q4
The Matrix,primaryTitle,1847544,Q4
The Lord of the Rings: The Fellowship of the Ring,primaryTitle,1787657,Q4
The Godfather,primaryTitle,1766594,Q4
The Lord of the Rings: The Return of the King,primaryTitle,1765903,Q4
The Dark Knight Rises,primaryTitle,1638218,Q4
The Lord of the Rings: The Two Towers,primaryTitle,1595387,Q4
Se7en,primaryTitle,1573597,Q4
Django Unchained,primaryTitle,1482939,Q4
Gladiator,primaryTitle,1444317,Q4
Batman Begins,primaryTitle,1413954,Q4
The Avengers,primaryTitle,1346128,Q4
Saving Private Ryan,primaryTitle,1337053,Q4
The Wolf of Wall Street,primaryTitle,1328031,Q4
Star Wars,primaryTitle,1313405,Q4
Schindler's List,primaryTitle,1307863,Q4
The Prestige,primaryTitle,1285606,Q4
The Departed,primaryTitle,1277755,Q4
The Green Mile,primaryTitle,1247828,Q4
Shutter Island,primaryTitle,1247237,Q4
Star Wars: Episode V - The Empire Strikes Back,primaryTitle,1241915,Q4
The Godfather: Part II,primaryTitle,1222540,Q4
Memento,primaryTitle,1200693,Q4
Joker,primaryTitle,1168939,Q4
Back to the Future,primaryTitle,1152017,Q4
Guardians of the Galaxy,primaryTitle,1131580,Q4
American Beauty,primaryTitle,1127102,Q4
Titanic,primaryTitle,1126546,Q4
Leon: The Professional,primaryTitle,1118989,Q4
Goodfellas,primaryTitle,1107550,Q4
V for Vendetta,primaryTitle,1093648,Q4
American History X,primaryTitle,1091199,Q4
Kill Bill: Vol. 1,primaryTitle,1077186,Q4
Pirates of the Caribbean: The Curse of the Black Pearl,primaryTitle,1070084,Q4
Terminator 2: Judgment Day,primaryTitle,1061974,Q4
The Usual Suspects,primaryTitle,1055404,Q4
Avengers: Endgame,primaryTitle,1031516,Q4
The Truman Show,primaryTitle,1026834,Q4
Iron Man,primaryTitle,1019489,Q4
Star Wars: Episode VI - Return of the Jedi,primaryTitle,1014961,Q4
Avengers: Infinity War,primaryTitle,996934,Q4
Deadpool,primaryTitle,987969,Q4
Reservoir Dogs,primaryTitle,984684,Q4
Eternal Sunshine of the Spotless Mind,primaryTitle,974669,Q4
The Sixth Sense,primaryTitle,963619,Q4
Mad Max: Fury Road,primaryTitle,961431,Q4
Gone Girl,primaryTitle,943900,Q4
Jurassic Park,primaryTitle,939146,Q4
Indiana Jones and the Raiders of the Lost Ark,primaryTitle,938823,Q4
No Country for Old Men,primaryTitle,934519,Q4
Good Will Hunting,primaryTitle,931005,Q4
Catch Me If You Can,primaryTitle,929853,Q4
A Beautiful Mind,primaryTitle,904735,Q4
Star Wars: Episode VII - The Force Awakens,primaryTitle,904636,Q4
The Hunger Games,primaryTitle,894041,Q4
Die Hard,primaryTitle,852786,Q4
Alien,primaryTitle,848067,Q4
Harry Potter and the Deathly Hallows: Part 2,primaryTitle,838522,Q4
The Terminator,primaryTitle,836807,Q4
Snatch,primaryTitle,832223,Q4
Slumdog Millionaire,primaryTitle,830681,Q4
Avengers: Age of Ultron,primaryTitle,825220,Q4
Iron Man 3,primaryTitle,819443,Q4
Requiem for a Dream,primaryTitle,816066,Q4
Captain America: The First Avenger,primaryTitle,813087,Q4
Thor,primaryTitle,811743,Q4
Captain America: The Winter Soldier,primaryTitle,809542,Q4
Gravity,primaryTitle,808431,Q4
The Hobbit: An Unexpected Journey,primaryTitle,800201,Q4
Whiplash,primaryTitle,799979,Q4
The Pianist,primaryTitle,799556,Q4
300,primaryTitle,797914,Q4
Taxi Driver,primaryTitle,789534,Q4
Spider-Man,primaryTitle,788515,Q4
Iron Man 2,primaryTitle,786949,Q4
The Big Lebowski,primaryTitle,786247,Q4
